HR,RR
69.0,26.0
69.0,26.0
69.0,26.0
69.0,26.0
69.0,26.0
69.0,26.0
68.0,26.0
68.0,26.0
69.0,26.0
69.0,29.0
69.0,29.0
69.0,26.0
69.0,26.0
69.0,26.0
69.0,29.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
69.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
69.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
69.0,26.0
68.0,26.0
68.0,26.0
68.0,26.0
69.0,26.0
69.0,26.0
69.0,26.0
68.0,26.0
68.0,26.0
69.0,26.0
68.0,26.0
